"SUM_BILNO","SUMMARY_DOCID","SUMMARY_TYPE","SUMMARY_TEXT"
"HB0319","HB319S    ","SUMMARY AS INTRODUCED","<p class=sumtext><b>Department of Elections; work group  on back-end, opt-out automatic voter registration.</b> Directs the Department  of Elections to convene a work group for the purpose  of studying the implementation of back-end, opt-out automatic voter  registration. The work group will include  representatives of the Department of Motor Vehicles, the Virginia Information  Technologies Agency, and the Office of the Attorney General, in addition to  members of the House and Senate Committees on Privileges and Elections, general  registrars, and organizations advocating for or working on voting rights and  data privacy. The work group is tasked with  considering the effectiveness, efficiency, and security of back-end, opt-out  automatic voter registration as compared to Virginia's current front-end,  opt-out process, and identifying the costs and benefits of moving to such a  system. "
"HB0320","HB320S    ","SUMMARY AS INTRODUCED","<p class=sumtext><b>Live streaming while driving; prohibited; penalty.</b>  Prohibits any person, while driving a moving motor vehicle on the highways in  the Commonwealth, from (i) initiating, participating in, viewing, or interacting  with any live stream, as that term is defined in the bill, and (ii)  manipulating any electronic device to enable or maintain the functions of a  live stream on or with such electronic device. The bill establishes penalties  for violations, in addition to any other penalties available under current law,  including periods of license suspension and a fine of not more than $500 if a  person who commits such a violation is involved in an accident at the time of  such violation."
"HB0320","HB320SE   ","SUMMARY AS PASSED HOUSE","<p class='sumtext'><b>Live streaming while driving; prohibited; penalty.</b> Prohibits any person, while driving a moving motor vehicle on the highways in the Commonwealth, from (i) initiating, participating in, viewing, or interacting with any live stream, as that term is defined in the bill, and (ii) manipulating any electronic device to enable or maintain the functions of a live stream on or with such electronic device. The bill establishes penalties for violations, in addition to any other penalties available under current law, including periods of license suspension and fines of not more than $500. The bill provides that a violation is a secondary offense. </p>"
"HB0321","HB321S    ","SUMMARY AS INTRODUCED","<p class=sumtext><b>Agricultural Workforce Mental Health and Suicide Prevention  Program established; report</b>. Requires the Department of Agriculture and  Consumer Services (the Department) to establish and administer  the Agricultural Workforce Mental Health and Suicide Prevention Program (the Program) to support the mental health and well-being  of the agricultural workforce, as defined in the bill, in the Commonwealth. The  bill requires the Program to (i) increase public awareness of mental health and  suicide prevention, (ii) provide access to culturally and contextually  appropriate mental health services, and (iii) address mental health challenges  arising from certain stressors affecting agricultural communities in the  Commonwealth. The bill directs the Department to submit a report on the  Program's progress, including data collected and any recommendations, to the Chairmen of the House Committee on Agriculture,  Chesapeake and Natural Resources and Senate Committee on Agriculture,  Conservation and Natural Resources by September 1, 2027, and biennially  thereafter."
"HB0322","HB322S    ","SUMMARY AS INTRODUCED","<p class=sumtext><b>Misbranded food; manufactured-protein food products; civil penalty.</b> Provides that a food is misbranded if  it purports to be or is represented as a meat food product or poultry product  and such food product (i) bears or contains a manufactured-protein food  product, as defined in the bill; (ii) is offered for sale; and (iii) has a  label that is part of or placed on the food product package or other container  storing such product that identifies the food as a meat food product or poultry  product, unless such label bears a conspicuous and prominent qualifying term  and is in close proximity to an identifying meat term, as such terms are  defined in the bill. The bill exempts a meat food product that the Department  of Agriculture and Consumer Services determines contains a trace amount of a  manufactured-protein food product, prohibits the sale or offering for sale of a  food product that is misbranded pursuant to the provisions of the bill, and  makes doing so a violation of the Virginia Consumer Protection Act. The bill  provides that a person who violates the provisions of the bill is subject to a  civil penalty not to exceed $500 and allows the Board of Agriculture and  Consumer Services to adopt increased civil penalties not to exceed $500 for  first, second, and subsequent violations of the bill."
"HB0323","HB323S    ","SUMMARY AS INTRODUCED","<p class=sumtext><b>Department of Energy; use of waste heat from data centers;  findings and recommendations; work group; report.</b> Directs the Department of  Energy to (i) identify opportunities for using waste heat from data centers in the Commonwealth; (ii) determine ways to share  information and facilitate communication between data centers and heat users;  (iii) evaluate best practices and policies for using waste heat implemented in other  localities, states, or countries; (iv) develop a strategic plan to accelerate  the use of waste heat from such data centers; (v)  designate a representative to lead efforts to accelerate the use of waste heat  from such data centers; and (vi) convene a work  group of relevant experts and stakeholders to provide feedback on the  Department's efforts. The bill directs the  Department to submit a report of its efforts, findings, legislative  proposals, and recommendations, including the strategic plan, to the General  Assembly by September 1, 2026."
"HB0323","HB323SE   ","SUMMARY AS PASSED HOUSE","<p class='sumtext'><b>Department of Energy; use of waste heat from data centers; findings and recommendations; work group; report.</b> Directs the Department of Energy to lead efforts to accelerate the use of waste heat from data centers in the Commonwealth by making certain findings and recommendations and convening a work group to provide expertise, assistance, and feedback on the Department's efforts. The bill requires the Department to submit a report of its efforts, findings, legislative proposals, and recommendations&nbsp;no later than September 1, 2026. </p>"
"HB0324","HB324S    ","SUMMARY AS INTRODUCED","<p class=sumtext><b>Electric Vehicle Rural Infrastructure Program and Fund  created.</b> Creates the Electric Vehicle Rural Infrastructure Program and Fund  to assist private developers with non-utility costs associated with the installation  of electric vehicle charging stations (i) in certain localities; (ii) on  eligible public land, as defined in the bill; or (iii) within one mile of the  boundary of eligible public land. The bill provides that a private developer  may apply for a grant in an amount equal to 70 percent of the private  developer's non-utility costs for the installation of such public electric  vehicle charging stations. The awarding of a grant under the Program is conditional upon an agreement with the applicant that  any cost of a project not funded by a grant awarded by the Program be funded by  non-federal funds. The bill directs the Department  of Energy to establish guidelines for the  administration of the Program, including guidelines related to the application  for and award of grants. The bill has an expiration date of July 1, 2031."
"HB0325","HB325S    ","SUMMARY AS INTRODUCED","<p class=sumtext><b>Department of Fire Programs; mental health awareness  training.</b> Provides that the Department of Fire Programs shall develop a  training program for mental health awareness that satisfies the criteria in  current law requiring each fire department to develop curricula for mental  health awareness training for its personnel. The bill provides the option for  each fire department to use such standardized training program for the development and implementation  of a mental health awareness training program for its personnel."
"HB0326","HB326S    ","SUMMARY AS INTRODUCED","<p class=sumtext><b>Disposition of Fort Whitworth. </b>Authorizes the Governor  to convey Fort Whitworth to the Petersburg Battlefields  Foundation. The conveyance shall be made without consideration and in as-is  condition."
"HB0327","HB327S    ","SUMMARY AS INTRODUCED","<p class=sumtext><b>Commonwealth Health Reinsurance Program;  extension of program; percentage goal to decrease premium.</b> Directs  the State Corporation Commission to apply to the appropriate federal agencies  under the federal Patient Protection and Affordable  Care Act for an extension of the existing State Innovation  Waiver authorizing the Commonwealth to implement a reinsurance program.  The existing State Innovation Waiver is set to  expire on January 1, 2028. Additionally, the bill  removes the 20 percent upper limit of the premium reduction goal under the Commonwealth Health Reinsurance Program. This bill is a  recommendation of the Health Insurance Reform Commission."
"HB0327","HB327SE   ","SUMMARY AS PASSED HOUSE","<p class='sumtext'><b>Commonwealth Health Reinsurance Program; extension of program; percentage goal to decrease premium.</b> Directs the State Corporation Commission to apply to the appropriate federal agencies under the federal Patient Protection and Affordable Care Act for an extension of the existing State Innovation Waiver authorizing the Commonwealth to implement a reinsurance program. The existing State Innovation Waiver is set to expire on January 1, 2028. Additionally, the bill removes the 20 percent upper limit of the premium reduction goal under the Commonwealth Health Reinsurance Program. As introduced, this bill was a recommendation of the Health Insurance Reform Commission. </p>"
"HB0328","HB328S    ","SUMMARY AS INTRODUCED","<p class=sumtext><b>Health insurance; essential health benefits benchmark plan.</b>  Requires the Bureau of Insurance to select a new essential health benefits  benchmark plan for the 2029 plan year that includes, in addition to the  essential health benefits package included in the existing benchmark plan,  coverage for (i) doula care services; (ii) the  treatment of iatrogenic infertility; (iii) fertility  treatment and diagnosis, including a maximum of three cycles per lifetime of  assisted reproductive technology; (iv) hearing aids for individuals of all  ages; (v) pasteurized donor human breast milk; (vi) the prophylaxis, diagnosis,  and treatment of pediatric autoimmune neuropsychiatric disorders associated  with streptococcal infections and pediatric acute-onset neuropsychiatric  syndrome; and (vii) the treatment of polycystic ovary syndrome. This bill is a  recommendation of the Health Insurance Reform Commission."
"HB0328","HB328SE   ","SUMMARY AS PASSED HOUSE","<p class='sumtext'><b>Health insurance; essential health benefits benchmark plan.</b> Requires the Bureau of Insurance to select a new essential health benefits benchmark plan for the 2029 plan year that includes, in addition to the essential health benefits package included in the existing benchmark plan, coverage for (i) doula care services; (ii) the treatment of iatrogenic infertility; (iii) fertility treatment and diagnosis, including a maximum of three cycles per lifetime of assisted reproductive technology; (iv) hearing aids for individuals of all ages; (v) pasteurized donor human breast milk; (vi) the prophylaxis, diagnosis, and treatment of pediatric autoimmune neuropsychiatric disorders associated with streptococcal infections and pediatric acute-onset neuropsychiatric syndrome; and (vii) the treatment of polycystic ovary syndrome. This bill is a recommendation of the Health Insurance Reform Commission. </p>"
"HB0329","HB329S    ","SUMMARY AS INTRODUCED","<p class=sumtext><b>Virginia Residential Landlord and Tenant Act; Manufactured  Home Lot Rental Act; retaliatory conduct prohibited.</b> Adds numerous actions  to the list of prohibited retaliatory actions by a landlord against a tenant  under the Virginia Residential Landlord and Tenant Act and Manufactured Home  Lot Rental Act and specifies actions by a tenant for which a landlord may not  retaliate. The bill modifies and expands the list of actions a landlord may  take without violating the prohibition on retaliation. The bill allows a  tenant, when the landlord has unlawfully retaliated, to recover actual damages  and to assert retaliation as a defense in any action brought against him for  possession."
"HB0330","HB330S    ","SUMMARY AS INTRODUCED","<p class=sumtext><b>Signs and advertisements adjacent to certain highways;  signs affixed to real property owned by WMATA.</b> Authorizes signs containing  advertisements or notices that have been authorized by a county or a city and that  are securely affixed to real property that is owned by the Washington  Metropolitan Area Transit Authority to be erected, maintained, and displayed  within 660 feet of the right-of-way of any Interstate System, National Highway  System, or federal-aid primary highway, provided that such signs comply with  any applicable federal requirements."
"HB0330","HB330SE   ","SUMMARY AS PASSED HOUSE","<p class='sumtext'><b>Signs and advertisements adjacent to certain highways; signs affixed to real property owned by WMATA.</b> Exempts signs containing advertisements or notices that have been authorized by a county or a city and that are securely affixed to real property that is owned by the Washington Metropolitan Area Transit Authority, provided that such signs comply with any applicable federal requirements, from certain requirements for signs and advertisements adjacent to certain highways. </p> "
"HB0331","HB331S    ","SUMMARY AS INTRODUCED","<p class=sumtext><b>Payment of costs when proceedings  deferred and defendant placed on probation.</b> Provides that if a circuit  court or district court has deferred proceedings pursuant to relevant law and imposed  costs, and the defendant has satisfied all other terms and conditions of such  deferral except for payment of such costs or fees, the court shall not enter a  judgment of guilty against such defendant for his failure to pay such costs or fees or participate in an alternative method of  satisfying such costs or fees. The bill states that such costs or fees shall remain due until paid, and the court may  use the same methods of payment and collection already in place to satisfy or  collect any outstanding costs or fees after the underlying case against the  defendant has been dismissed."
"HB0331","HB331SE   ","SUMMARY AS PASSED HOUSE","<p class='sumtext'><b>Payment of costs when proceedings deferred and defendant placed on probation.</b> Provides that for any deferral entered into on or after July 1, 2026, pursuant to relevant law, the court shall not require the defendant to pay such costs or other fees imposed pursuant to relevant law as a term or condition of his deferral. The bill states that upon fulfillment of all other terms and conditions, the court shall adjudicate the matter consistent with the agreement of the parties or, if none, by conviction of an alternative charge or dismissal of the case. The bill specifies that such costs and other fees shall remain due until paid, and all methods of payment and collection already in place to satisfy or collect any outstanding costs or other fees shall remain available to such court after the underlying case against the defendant has been adjudicated or dismissed. </p>"
"HB0332","HB332S    ","SUMMARY AS INTRODUCED","<p class=sumtext><b>Teacher licensure; three-year license to teach career and technical education or dual enrollment  courses at public high schools. </b>Requires the Board of Education to provide  for the issuance of a three-year license to teach solely  career and technical education courses or dual enrollment courses at public  high schools in the Commonwealth to any individual who (i) is employed as an  instructor by an institution of higher education that is accredited by a  nationally recognized regional accreditation body,  (ii) is teaching in the specific career and technical education or dual  enrollment subject area at such institution in which the individual seeks to  teach at a public high school,  and (iii) complies with the requirements set forth in relevant law to complete  study in child abuse recognition and intervention and certification or training  in emergency first aid, cardiopulmonary resuscitation, and the use of automated  external defibrillators. The bill requires the Board to require any such  instructor to maintain continuous employment in such position at the  institution of higher education as a condition of continued licensure."
"HB0332","HB332SE   ","SUMMARY AS PASSED HOUSE","<p class='sumtext'><b>Teacher licensure; three-year renewable license to teach career and technical education or dual enrollment courses at public high schools.</b> Requires the Board of Education to provide for the issuance of a three-year renewable license to teach solely career and technical education courses or dual enrollment courses at public high schools in the Commonwealth to any individual who (i) is employed as an instructor by an institution of higher education that is accredited by a nationally recognized regional accreditation body, (ii) is teaching in the specific career and technical education or dual enrollment subject area at such institution in which the individual seeks to teach at a public high school, and (iii) complies with the requirements set forth in relevant law to complete study in child abuse recognition and intervention and certification or training in emergency first aid, cardiopulmonary resuscitation, and the use of automated external defibrillators. The bill requires the Board to require any such instructor to maintain continuous employment in such position at the institution of higher education as a condition of continued licensure and the local school board to provide training on instruction and assessment for any such instructor during his first year. This bill incorporates HB 785.</p>"
"HB0333","HB333S    ","SUMMARY AS INTRODUCED","<p class='sumtext'><b>Public schools; programs and courses of instruction; instruction on January 6 insurrection; requirements and limitations. </b>Permits a school board to provide a program of instruction on or relating to the January 6, 2021, insurrection at the United States Capitol to public school students only in accordance with the requirements of the bill. The bill prohibits any such program of instruction, any accompanying curriculum or instructional materials, or any instruction provided by a teacher as a part of such program of instruction from (i) describing, portraying, or presenting as credible a description or portrayal of the actions precipitating or involved in the January 6, 2021, insurrection as peaceful protest or (ii) stating, suggesting, or presenting as credible a statement or suggestion that there was extensive election fraud that could have changed or actually changed the results of the 2020 presidential election. The bill requires any such program of instruction, any accompanying curriculum or instructional materials, or any instruction provided by a teacher as a part of such program of instruction to describe the January 6, 2021, insurrection at the United States Capitol as an unprecedented, violent attack on U.S. democratic institutions, infrastructure, and representatives for the purpose of overturning the results of the 2020 presidential election. </p>"
"HB0334","HB334S    ","SUMMARY AS INTRODUCED","<p class=sumtext><b>Additional local sales and use tax to support schools;  referendum.</b> Authorizes all counties and cities to impose an additional  local sales and use tax at a rate not to exceed one percent with the revenue used  only for capital projects for the construction or renovation of schools if such  levy is approved in a voter referendum. The bill removes the requirement that  such a tax must have an expiration date on either (i) the date of the repayment  of any bonds or loans used for such capital projects or (ii) a date chosen by  the governing body. Under current law, only Charlotte, Gloucester, Halifax,  Henry, Mecklenburg, Northampton, Patrick, and Pittsylvania Counties and the  City of Danville are authorized to impose such a tax. "
"HB0335","HB335S    ","SUMMARY AS INTRODUCED","<p class=sumtext><b>Independent Pharmacy Access and Resilience Pilot Program;  report; sunset. </b>Establishes the Independent Pharmacy Access and Resilience  Pilot Program in the Department of Health to strengthen and stabilize access to  pharmacy services in medically underserved communities and communities at  heightened risk of pharmacy closure. The Program is established as a pilot  program with an expiration date of July 1, 2030, and  participation is limited to 12 independent pharmacies meeting certain criteria  outlined in the bill. The bill directs the Department to submit to the Governor  and General Assembly an interim report with evaluations of participating  pharmacies no later than November 1, 2028, and a  final comprehensive evaluation no later than November 1, 2029, in order for the General Assembly to determine whether  to continue, modify, expand, or terminate the Program."
"HB0336","HB336S    ","SUMMARY AS INTRODUCED","<p class=sumtext><b>Fetal and Infant Mortality Review Team  established; penalty; report.</b> Establishes the Fetal and Infant Mortality  Review Team to develop and implement procedures to ensure that fetal and infant  deaths occurring in the Commonwealth are analyzed in a systematic way. The bill  requires the Team to compile triennial statistical data regarding fetal and  infant deaths and to make such data available to the Governor, the General  Assembly, and the Department of Health. The bill provides that information and  records obtained or created by the Team and portions of meetings of the Team at  which individual fetal and infant deaths are discussed shall be confidential.</p>    <p class=sumtext>"
"HB0337","HB337S    ","SUMMARY AS INTRODUCED","<p class=sumtext><b>Department of Medical Assistance Services; community health workers in Medicaid managed care;  report.</b> Directs the Department of Medical Assistance Services (DMAS) to evaluate and develop recommendations for a  statewide strategy to integrate community health workers  into Medicaid managed care and related health and human services programs. The  bill instructs DMAS to consult with the Department of Health, the Department of  Social Services, the Department of Behavioral Health and Developmental  Services, the Department for Aging and Rehabilitative Services, the Virginia  Community Health Worker Association, Medicaid managed care organizations, local  departments of social services, community-based providers,  and other relevant stakeholders. The bill requires DMAS to submit a report of  its findings and recommendations to the Joint Commission on Health Care and the  Chairs of the House Committee on Appropriations and the Senate Committee on  Finance and Appropriations by December 1, 2026."
"HB0338","HB338S    ","SUMMARY AS INTRODUCED","<p class=sumtext><b>Building service employees; transition period.</b> Permits  any locality to provide, by ordinance or resolution, for certain requirements  concerning successor building service employers, defined in  the bill. For example, such local ordinance or resolution may require  that successor service employers retain incumbent service employees during a  transition period of 90 days. Under the bill, building service employees are  those who perform work in connection with the care or maintenance of property,  certain transportation services, and food preparation services. The bill  provides that a building service employer who violates the provisions of a  local ordinance or resolution enacted pursuant to the bill may be subject to a  civil action and monetary damages."
"HB0338","HB338SE   ","SUMMARY AS PASSED HOUSE","<p class='sumtext'><b>Building service employees; transition period.</b> Permits any locality to provide, by ordinance or resolution, for certain requirements concerning successor building service employers, defined in the bill. For example, such local ordinance or resolution may require that successor service employers retain incumbent service employees during a transition period of 90 days. Under the bill, building service employees are those who perform work in connection with the care or maintenance of property, certain transportation services, and food preparation services at an elementary or secondary school or institution of higher education. The bill provides that a building service employer who violates the provisions of a local ordinance or resolution enacted pursuant to the bill may be subject to a civil action and monetary damages. </p>"
"HB0339","HB339S    ","SUMMARY AS INTRODUCED","<p class=sumtext><b>Employee protections; prevailing wage, wage and hour,  health and safety, and mining safety provisions. </b>Provides  that for the requirement that prevailing wages be  paid for work performed on public works, 'public works' includes all federal  construction projects administered or controlled by a state agency or locality  if the prevailing wage rate as determined by the Commissioner of Labor and  Industry (the Commissioner) is equal to or greater  than the prevailing wage determination by the U.S. Secretary of Labor for the  same locality for the same type of construction used to classify the federal  construction project. The bill requires the Commissioner to determine the  prevailing wage based on either (i) applicable prevailing wage rate determinations  made by the U.S. Secretary of Labor under the provisions of the Davis-Bacon Act  or (ii) the rate that prevails for work of a similar character on public works  in the locality in which the work is performed under collective bargaining  agreements or understandings between employers or employer associations and  bona fide labor organizations relating to each craft or type of worker or  mechanic needed to execute the contract or perform such work, and collective  bargaining agreements or understandings successor thereto, provided that said  employers or members of said employer associations employ at least 30 percent  of the laborers, workers, or mechanics in the same trade or occupation in the  locality where the work is being performed, whichever is greater.</p>  <p class=sumtext>Additionally, the bill requires that, if a federal wage or  hour law, federal occupational health and safety law, or federal mine safety  law is repealed, revoked, amended, or reinterpreted in any manner that results  in the federal protections becoming less stringent, the Commissioner, the  Safety and Health Codes Board, or the Department of Energy, respectively, shall  promulgate regulations that incorporate the federal law being repealed,  revoked, amended, or newly interpreted."
"HB0339","HB339SE   ","SUMMARY AS PASSED HOUSE","<p class='sumtext'><b>Employee protections; wage and hour, health and safety, and mining safety provisions; federal rules. </b>Requires that, if a federal wage or hour law, federal occupational health and safety law, or federal mine safety law is repealed, revoked, amended, or reinterpreted in any manner that results in the federal protections becoming less stringent or effective, the Commissioner, the Safety and Health Codes Board, or the Department of Energy, respectively, shall promulgate regulations that incorporate the federal law as it existed prior to being repealed, revoked, amended, or newly interpreted. </p>"
"HB0340","HB340S    ","SUMMARY AS INTRODUCED","<p class='sumtext'><b>Migrant labor camp permits; expiration.</b> Removes the annual December 31 expiration date for all issued migrant labor camp permits and provides that such permits expire 12 months from the date of issuance. This bill is identical to SB 319.</p>"
"HB0341","HB341S    ","SUMMARY AS INTRODUCED","<p class=sumtext><b>Plastic bag tax; distribution to towns. </b>Requires that any town located within a county that has imposed a  disposable plastic bag tax receive a distribution of revenues collected by the  county based on the local sales tax distribution formula for appropriations to  towns. The bill restricts a  town's use of such revenues to the same purposes allowable for a county  or city."
"HB0341","HB341SER  ","SUMMARY AS PASSED","<p class='sumtext'><b>Plastic bag tax; distribution to towns. </b>Requires that any town located within a county that has imposed a disposable plastic bag tax receive a distribution of revenues collected by the county based on the local sales tax distribution formula for appropriations to towns. The bill restricts a town's use of such revenues to the same purposes allowable for a county or city. </p>"
"HB0342","HB342S    ","SUMMARY AS INTRODUCED","<p class=sumtext><b>Judicial Inquiry and Review Commission; magistrates;  availability of complaint forms in courthouses.</b> Requires that paper copies  of any standardized form developed and utilized by the Judicial Inquiry and Review  Commission and any standardized form developed and utilized by the Department  of Magistrate Services in the Office of the Executive Secretary of the Supreme  Court of Virginia for the filing of a complaint be made available to the public  in the clerk's office in all state courts of the Commonwealth. The bill also  requires that a sign be posted in all such courts, in a location accessible to  the public, that notes the availability and location of such forms."
"HB0342","HB342SER  ","SUMMARY AS PASSED","<p class='sumtext'><b>Judicial Inquiry and Review Commission; magistrates; availability of complaint forms in courthouses.</b> Requires that paper copies of any standardized form developed and utilized by the Judicial Inquiry and Review Commission and any standardized form developed and utilized by the Department of Magistrate Services in the Office of the Executive Secretary of the Supreme Court of Virginia for the filing of a complaint be made available to the public in the clerk's office in all state courts of the Commonwealth. The bill also requires that a sign be posted in all such courts, in a location accessible to the public, that notes the availability and location of such forms. </p>"
"HB0343","HB343S    ","SUMMARY AS INTRODUCED","<p class=sumtext><b>Helmets; local authority. </b>Permits localities to adopt  ordinances requiring children 14 years of age or younger to wear protective  helmets whenever riding or being carried on a motorized skateboard or scooter  or a nonmotorized scooter. Current law authorizes localities to adopt such ordinances  for riders of bicycles, electric personal assistive mobility devices, toy vehicles,  and electric power-assisted bicycles."
"HB0344","HB344S    ","SUMMARY AS INTRODUCED","<p class=sumtext><b>Property under common ownership;  creation of easements.</b> Provides that a private appurtenant easement may be  created for any purposes by the owner of the dominant and servient estate by  the recordation of an instrument that grants or reserves such easement. The  bill further provides that the rule of property law known as the doctrine of  merger shall not prevent such grant or reservation.</p>    <p class=sumtext>"
"HB0345","HB345S    ","SUMMARY AS INTRODUCED","<p class=sumtext><b>Real property tax; partial exemption for certain commercial  and industrial structures.</b> Prohibits the application of a partial real  property tax exemption to the demolition or replacement of an existing  structure when such structure is a registered Virginia landmark or is  determined by the Department of Historic Resources to contribute to the  significance of a registered historic district. Current law prohibits the  application of an exemption to the demolition or replacement of an existing  structure when such structure is a registered Virginia landmark or is  determined to contribute to the significance of a registered historic landmark."
"HB0346","HB346S    ","SUMMARY AS INTRODUCED","<p class=sumtext><b>Virginia Freedom of Information Act; exclusions to  application of chapter; public utility account numbers.</b> Excludes account  numbers of any person or public body for an account with a  public utility, as defined in the bill, from the mandatory disclosure  provisions of the Virginia Freedom of Information Act. However such information  may be disclosed by the custodian in his discretion, except where such  disclosure is prohibited by law."
"HB0346","HB346SER  ","SUMMARY AS PASSED","<p class='sumtext'><b>Virginia Freedom of Information Act; exclusions to application of chapter; public utility account numbers.</b> Excludes account numbers of any person or public body for an account with a public utility, as defined in the bill, from the mandatory disclosure provisions of the Virginia Freedom of Information Act. However such information may be disclosed by the custodian in his discretion, except where such disclosure is prohibited by law. </p>"
"HB0347","HB347S    ","SUMMARY AS INTRODUCED","<p class=sumtext><b>Military and emergency laws; local emergency management plans.</b> Changes from every four years to every five years the frequency with which every local and interjurisdictional  agency has to review and update its emergency operations plan."
"HB0347","HB347SER  ","SUMMARY AS PASSED","<p class='sumtext'><b>Military and emergency laws; local emergency management plans.</b> Changes from every four years to every five years the frequency with which every local and interjurisdictional agency has to review and update its emergency operations plan. </p>"
"HB0348","HB348S    ","SUMMARY AS INTRODUCED","<p class=sumtext><b>Residential Well Water Testing and Treatment Program and  Fund.</b> Directs the State Board of Health to adopt regulations to utilize  point-of-use or point-of-entry drinking water treatment or filtration systems to remove or significantly reduce concentrations  of perfluorooctanoic acid, perfluorooctane sulfonate, and other established and  emerging contaminants of concern that meet or exceed maximum contaminant levels  or health advisory levels for the same contaminant adopted by the U.S.  Environmental Protection Agency (EPA) or, in the in the absence of an EPA  health advisory for such contaminant, a contaminant level determined by the  Department of Health's Office of Drinking Water. The bill also establishes the  Residential Well Water Testing and Treatment Program and Program Fund to allow the Department to test and treat  contaminated drinking water through grants for the use of eligible treatment or filtration systems in private residential wells. This  bill is a recommendation of the State Water Commission."
"HB0349","HB349S    ","SUMMARY AS INTRODUCED","<p class=sumtext><b>Department of Emergency Management; emergency services and  disaster preparedness programs; inclusion of federally recognized tribes.</b>  Requires the Department of Emergency Management to administer certain emergency  services in coordination with federally recognized tribes that the Department has entered into a contract or memorandum of  understanding with for assistance regarding such emergency  services. This bill is a recommendation of the  Commission on Updating Virginia Law to Reflect Federal Recognition of Virginia  Tribes."
"HB0350","HB350S    ","SUMMARY AS INTRODUCED","<p class=sumtext><b>Exemption from jury service; law-enforcement officers; fire  marshals.</b> Adds any law-enforcement officer not already automatically exempt under current law from jury service to the list of  persons automatically exempt from such service. The bill also adds the State  Fire Marshal and any officer appointed as a fire marshal to the list of such exemptions."
"HB0350","HB350SE   ","SUMMARY AS PASSED HOUSE","<p class='sumtext'><b>Exemption from jury service; fire marshals. </b>Adds the State Fire Marshal and any officer appointed as a fire marshal to the list of persons automatically exempt from jury service.</p>"
"HB0350","HB350SER  ","SUMMARY AS PASSED","<p class='sumtext'><b>Exemption from jury service; fire marshals. </b>Adds the State Fire Marshal and any officer appointed as a fire marshal to the list of persons automatically exempt from jury service.</p>"
"HB0351","HB351S    ","SUMMARY AS INTRODUCED","<p class=sumtext><b>Flashing red and white warning lights;  emergency vehicle exemptions; Department of Military Affairs emergency  vehicles.</b> Authorizes Department of Military Affairs emergency vehicles to  (i) be equipped with flashing, blinking, or alternating red or red and white  combination warning lights and (ii) disregard certain regulations regarding the  operation of vehicles without being subject to criminal prosecution while  responding to an emergency."
"HB0352","HB352S    ","SUMMARY AS INTRODUCED","<p class=sumtext><b>Local authority; affordable housing performance grant  programs.</b> Allows any locality that has created an industrial development  authority or economic development authority (the Authority) to establish, by ordinance,  an affordable housing performance grant program. The bill outlines that such  ordinance authorizes the Authority to award affordable housing performance  grants to qualifying applicants. Such an ordinance must include: (i) a  definition of affordable housing; (ii) grant application guidelines and  processes, including an identification of the local officer that is designated  to receive applications; (iii) criteria for determining whether the  construction or improvement of property qualifies for the awarding of the  grant; (iv) provisions that require an applicant seeking the award of a grant to acquire appropriate permits and complete the  construction or improvement to develop affordable housing before such a grant  will be awarded; (v) provisions that require an applicant seeking the award of  a grant to present evidence demonstrating that he  has filed and recorded a restrictive covenant to provide affordable housing on  the property for a set term, as determined by the ordinance, provided that such  term shall be no more than 30 years, on the subject qualifying property before  such a grant will be awarded; and (vi) a timeline for the Authority to award  grants to qualifying applicants, which may be either upon the completion of the  construction or improvement of the property, or on January 1 of the year  following the completion of the construction or improvement of the property.  The bill also limits the total amount of any such grant to being no more than  the amount equal to the increase in assessed value resulting from the  construction or improvement of a property. Finally, the bill permits a locality  that adopts such ordinance to impose a fee, not to exceed $250, to offset the  costs of processing an application. "
"HB0353","HB353S    ","SUMMARY AS INTRODUCED","<p class=sumtext><b>Benefits consortium; sponsoring association.</b> Provides  that the sponsoring association of a benefits consortium that offers health  benefit plans to the members of such sponsoring association may operate as a nonprofit  entity under ? 501(c)(3), 501(c)(5), or 501(c)(6) of the Internal Revenue Code.  Under current law, such a sponsoring association may only operate under ?  501(c)(5) or 501(c)(6) of the Internal Revenue Code."
"HB0354","HB354S    ","SUMMARY AS INTRODUCED","<p class=sumtext><b>Commissioner of the Department of Veterans Services; powers  and duties; online portal. </b>Requires the Commissioner of the Department of  Veterans Services to develop and maintain an online portal to connect veterans,  members of the Virginia National Guard, and Virginia  residents in the Armed Forces Reserves who qualify for veteran status, and  their immediate family members, to available  resources, programs, and services in the Commonwealth and provide a means to  submit electronic applications for such resources, programs, and services. The  bill requires the online portal to collect, maintain, use, disseminate, and  safeguard personal information in compliance with state and federal law."
"HB0355","HB355S    ","SUMMARY AS INTRODUCED","<p class=sumtext><b>Public school students in grades six through 12; annual  mental health screening. </b>Requires, no later than September 1, 2027, the  Board of Education, in consultation with the Department of Behavioral Health  and Developmental Services and any other stakeholder  that the Board deems appropriate, to (i) develop, identify, or procure and make  available to each school board at no cost an evidence-based tool or  evidence-based tools for the mental health screening of each public school  student in grades six through 12 and (ii) develop, adopt, distribute to each  school board, and post publicly and conspicuously on its website guidance and  model procedures for annual mental health screenings for each such student,  with certain content enumerated in the bill. The bill requires, beginning with  the 2028-2029 school year, each school board to ensure that each student in  grades six through 12 in the local school division is screened at least  annually using such screening tool, unless the student's parents opt the  student out of such screening."
