"Bill_Number","Subject_Name","Subject_Id"
"SB226","Uncodified Legislation","1282"
"SB226","Highways and Other Surface Transportation Systems","8721"
"SB229","Study Commissions, Committees, and Reports","428"
"SB229","Suicide","1072"
"SB229","Uncodified Legislation","1282"
"SB229","Veterans","13645"
"SB230","Public Service Companies","361"
"SB233","Housing","231"
"SB233","Religious and Charitable Matters; Cemeteries","372"
"SB233","Affordable Housing","511"
"SB234","Study Commissions, Committees, and Reports","428"
"SB234","Solar Energy","1050"
"SB234","Mines, Minerals, and Energy","14463"
"SB247","Administration of Government","4"
"SB247","Counties, Cities, and Towns","122"
"SB247","Ordinances","919"
"SB251","Taxation","437"
"SB251","Motion Pictures","16522"
"SB252","Consumer Protection","118"
"SB252","Trade and Commerce","445"
"SB270","Elections","156"
"SB270","Primaries","962"
"SB270","Voters and Voting","1141"
"SB278","Appropriations","24"
"SB278","Civil Remedies and Procedure","93"
"SB278","Criminal Procedure","133"
"SB278","Health","218"
"SB280","Appropriations","24"
"SB280","Civil Remedies and Procedure","93"
"SB280","Health","218"
"SB280","Professions and Occupations","355"
"SB284","Counties, Cities, and Towns","122"
"SB284","Data Centers","16509"
"SB285","Counties, Cities, and Towns","122"
"SB285","Data Centers","16509"
"SB289","Computer Services and Uses","115"
"SB289","Waters of the State, Ports, and Harbors","472"
"SB289","Stormwater Management","1066"
"SB293","Wills, Trusts, and Fiduciaries","487"
"SB302","Commissions, Boards, and Institutions Generally","113"
"SB302","Study Commissions, Committees, and Reports","428"
"SB302","Manufacturers","867"
"SB302","Uncodified Legislation","1282"
"SB304","Counties, Cities, and Towns","122"
"SB304","Ordinances","919"
"SB304","Zoning","1164"
"SB305","Counties, Cities, and Towns","122"
"SB305","Ordinances","919"
"SB312","Persons With Disabilities","338"
"SB315","Elections","156"
"SB315","Voter Registration","1140"
"SB318","Study Commissions, Committees, and Reports","428"
"SB318","Institutions of Higher Education; Other Educational and Cultural Institutions","9650"
"SB322","Highways and Other Surface Transportation Systems","8721"
"SB328","Emergency Services and Vehicles","159"
"SB328","Pensions, Benefits, and Retirement","336"
"SB328","Local Government and Officials","856"
"SB328","Retirement Systems","1007"
"SB332","Commissions, Boards, and Institutions Generally","113"
"SB332","Crimes and Offenses Generally","132"
"SB332","Misdemeanors","887"
"SB333","Appropriations","24"
"SB333","Commissions, Boards, and Institutions Generally","113"
"SB333","Crimes and Offenses Generally","132"
"SB333","Health","218"
"SB333","Cancer","576"
"SB333","Medical Treatment, Care, and Assistance","878"
"SB346","Public Service Companies","361"
"SB346","State Corporation Commission","421"
"SB346","Solar Energy","1050"
"SB347","Armed Forces","26"
"SB347","Study Commissions, Committees, and Reports","428"
"SB347","Finance, Secretary of","718"
"SB347","Uncodified Legislation","1282"
"SB349","Motor Vehicles","299"
"SB349","Inspections, Motor Vehicle","802"
"SB351","Commissions, Boards, and Institutions Generally","113"
"SB351","Professions and Occupations","355"
"SB351","Nurses","908"
"SB351","Midwives","16539"
"SB359","Consumer Protection","118"
"SB359","Trade and Commerce","445"
"SB359","Children","597"
"SB359","Social Media","16551"
"SB371","Counties, Cities, and Towns","122"
"SB371","King George County","255"
"SB376","Insurance","238"
"SB376","Health Insurance","765"
"SB376","Prescription Medicines","960"
"SB377","Administration of Government","4"
"SB377","Appropriations","24"
"SB377","Elections","156"
"SB377","Campaign Practices","575"
"SB378","Prisons and Other Methods of Correction","354"
"SB378","Correctional Enterprises","646"
"SB378","Corrections, Board of or Department of","647"
"SB390","Health","218"
"SB390","Epilepsy","16527"
"SB395","Behavioral Health and Developmental Services","40"
"SB395","Education","154"
"SB395","Elementary Schools","694"
"SB395","Public Schools","980"
"SB395","Students","1068"
"SB395","Secondary Schools","16483"
"SB396","Judges, Justices, and Other Elective Officers","246"
"SB396","Pensions, Benefits, and Retirement","336"
"SB396","Retirement Systems","1007"
"SB404","Behavioral Health and Developmental Services","40"
"SB404","Health","218"
"SB404","Hospitals and Hospitalization","781"
"SB406","Elections","156"
"SB417","Administration of Government","4"
"SB417","Persons With Disabilities","338"
"SB417","Welfare (Social Services)","478"
"SB417","Aging and Rehabilitative Services, Department for","513"
"SB418","Administration of Government","4"
"SB418","Study Commissions, Committees, and Reports","428"
"SB418","Museums","896"
"SB418","Institutions of Higher Education; Other Educational and Cultural Institutions","9650"
"SB419","Income Tax","234"
"SB419","Taxation","437"
"SB427","Criminal Procedure","133"
"SB427","Correctional Enterprises","646"
"SB430","Counties, Cities, and Towns","122"
"SB430","Affordable Housing","511"
"SB431","Education","154"
"SB431","School Boards","1029"
"SB431","Students","1068"
"SB432","Consumer Protection","118"
"SB432","Trade and Commerce","445"
"SB432","Children","597"
"SB440","Commonwealth Public Safety","114"
"SB440","Education","154"
"SB440","Public Schools","980"
"SB445","Armed Forces","26"
"SB445","Education","154"
"SB445","Teachers","1076"
"SB445","Veterans","13645"
"SB446","Commissions, Boards, and Institutions Generally","113"
"SB446","Conservation","116"
"SB446","Waters of the State, Ports, and Harbors","472"
"SB451","Conservation","116"
"SB451","Corporations","120"
"SB451","Income Tax","234"
"SB451","Taxation","437"
"SB457","Mines, Minerals, and Energy","14463"
"SB459","Income Tax","234"
"SB459","Taxation","437"
"SB465","Conservation","116"
"SB465","Land Conservation","830"
"SB468","Augusta County","32"
"SB468","Bath County","36"
"SB468","School Boards","1029"
"SB468","Uncodified Legislation","1282"
"SB481","Courts Not of Record","125"
"SB481","Courts of Record","126"
"SB481","Crimes and Offenses Generally","132"
"SB481","Criminal Procedure","133"
"SB481","Circuit Courts","602"
"SB481","Juvenile and Domestic Relations District Courts","826"
"SB481","Juveniles","827"
"SB482","Courts Not of Record","125"
"SB482","Juveniles","827"
"SB485","Labor and Employment","258"
"SB492","Administration of Government","4"
"SB492","Virginia Public Procurement Act","1133"
"SB492","Electric Vehicles","16486"
"SB500","Public Service Companies","361"
"SB500","Electric Companies","689"
"SB501","Taxation","437"
"SB501","Institutions of Higher Education; Other Educational and Cultural Institutions","9650"
"SB507","Labor and Employment","258"
"SB518","Education","154"
"SB518","High Schools","768"
"SB518","Public Schools","980"
"SB519","Domestic Relations","146"
"SB519","Divorce","676"
"SB520","Workers' Compensation","494"
"SB548","Pensions, Benefits, and Retirement","336"
"SB548","Retirement Systems","1007"
"SB557","Public Service Companies","361"
"SB562","Public Service Companies","361"
"SB562","Coal Mining","611"
"SB563","Education","154"
"SB563","Study Commissions, Committees, and Reports","428"
"SB563","Career and Technical Education","583"
"SB563","Uncodified Legislation","1282"
"SB563","Institutions of Higher Education; Other Educational and Cultural Institutions","9650"
"SB567","Counties, Cities, and Towns","122"
"SB567","Public Service Companies","361"
"SB567","State Corporation Commission","421"
"SB571","Civil Remedies and Procedure","93"
"SB571","Crimes and Offenses Generally","132"
"SB575","Behavioral Health and Developmental Services","40"
"SB575","Courts Not of Record","125"
"SB575","Minors","294"
"SB575","Elementary Schools","694"
"SB575","Public Schools","980"
"SB575","Students","1068"
"SB575","Secondary Schools","16483"
"SB578","Public Service Companies","361"
"SB579","Health","218"
"SB579","Liability Insurance","843"
"SB579","Nursing Homes","909"
"SB590","Behavioral Health and Developmental Services","40"
"SB591","Public Service Companies","361"
"SB592","Narcotics and Drugs","303"
"SB592","Uncodified Legislation","1282"
"SB593","Workers' Compensation","494"
"SB593","Firefighters and Fire Marshals","722"
"SB593","Law-Enforcement Officers","837"
"SB594","Emergency Services and Vehicles","159"
"SB594","Study Commissions, Committees, and Reports","428"
"SB594","Uncodified Legislation","1282"
"SB596","Property and Conveyances","356"
"SB596","Landlord and Tenant","833"
"SB596","Virginia Residential Landlord and Tenant Act","1134"
"SB612","Counties, Cities, and Towns","122"
"SB612","Police","344"
"SB617","Authorities","33"
"SB617","Washington, D.C. Metropolitan Area","468"
"SB617","Highways and Other Surface Transportation Systems","8721"
"SB619","Courts Not of Record","125"
"SB619","Education","154"
"SB619","Elementary Schools","694"
"SB619","Public Schools","980"
"SB619","Secondary Schools","16483"
"SB623","Emergency Services and Vehicles","159"
"SB623","Labor and Employment","258"
"SB623","Firefighters and Fire Marshals","722"
"SB631","Life Insurance","849"
"SB631","Virginia National Guard","1130"
"SB631","Uncodified Legislation","1282"
"SB632","Income Tax","234"
"SB632","Taxation","437"
"SB633","Criminal Procedure","133"
"SB633","Defendants","668"
"SB636","Behavioral Health and Developmental Services","40"
"SB636","Study Commissions, Committees, and Reports","428"
"SB636","Uncodified Legislation","1282"
"SB636","Veterans","13645"
"SB647","Administration of Government","4"
"SB647","Virginia Public Procurement Act","1133"
"SB648","Emergency Services and Vehicles","159"
"SB648","Fire Protection","174"
"SB648","Motor Vehicles","299"
"SB661","Health","218"
"SB661","Electronic Monitoring","691"
"SB661","Nursing Homes","909"
"SB662","Income Tax","234"
"SB662","Police, State","345"
"SB662","Taxation","437"
"SB664","Public Service Companies","361"
"SB664","Electric Companies","689"
"SB664","Infrastructure","796"
"SB664","Data Centers","16509"
"SB665","Authorities","33"
"SB665","Waters of the State, Ports, and Harbors","472"
"SB665","Stormwater Management","1066"
"SB670","Insurance","238"
"SB670","Taxation","437"
"SB670","License Tax","847"
"SB675","Fairfax County","167"
"SB675","Gambling, Lotteries, Etc.","189"
"SB675","Taxation","437"
"SB678","Students","1068"
"SB678","Institutions of Higher Education; Other Educational and Cultural Institutions","9650"
"SB682","Administration of Government","4"
"SB682","Health","218"
"SB682","Professions and Occupations","355"
"SB684","Trade and Commerce","445"
"SB684","Children","597"
"SB685","Labor and Employment","258"
"SB685","Wages","1142"
"SB688","Public Service Companies","361"
"SB689","Crimes and Offenses Generally","132"
"SB689","Gambling, Lotteries, Etc.","189"
"SB693","Property and Conveyances","356"
"SB693","Taxation","437"
"SB694","Crimes and Offenses Generally","132"
"SB694","Gambling, Lotteries, Etc.","189"
"SB697","Counties, Cities, and Towns","122"
"SB697","Solar Energy","1050"
"SB698","Conservation","116"
"SB698","Dams","660"
"SB708","Public Service Companies","361"
"SB711","Taxation","437"
"SB714","Motor Vehicles","299"
"SB714","Northern Virginia","314"
"SB717","Higher Education","771"
"SB717","Institutions of Higher Education; Other Educational and Cultural Institutions","9650"
"SB721","Counties, Cities, and Towns","122"
"SB721","Local Government and Officials","856"
"SB721","Ordinances","919"
"SB721","Plats","947"
"SB721","Zoning","1164"
"SB730","Commissions, Boards, and Institutions Generally","113"
"SB730","Fisheries and Habitat of the Tidal Waters","3974"
"SB733","Administration of Government","4"
"SB733","Governor","201"
"SB735","Insurance","238"
"SB735","Health Insurance","765"
"SJ1","Constitutional Amendments","117"
"SJ1","Human Rights","785"
"SJ2","Constitutional Amendments","117"
"SJ2","Elections","156"
"SJ2","Voters and Voting","1141"
"SJ10","Attorney General","31"
"SJ10","Constitutional Amendments","117"
"SJ10","Lieutenant Governor","848"
"SJ11","Constitutional Amendments","117"
"SJ11","Marriage","871"
"SJ14","Commissions, Boards, and Institutions Generally","113"
"SJ14","Science and Technology","395"
"SJ14","Study Commissions, Committees, and Reports","428"
"SJ18","Counties, Cities, and Towns","122"
"SJ18","Study Commissions, Committees, and Reports","428"
"SJ19","Prince William County","353"
"SJ19","Study Commissions, Committees, and Reports","428"
"SJ19","Pedestrians","933"
"SJ19","Roads","1012"
"SJ20","Commissions, Boards, and Institutions Generally","113"
"SJ20","Study Commissions, Committees, and Reports","428"
"SJ20","Community Colleges","625"
"SJ20","Workforce","1160"
"SJ21","Administration of Government","4"
"SJ21","Joint Legislative Audit and Review Commission (JLARC)","244"
"SJ21","Study Commissions, Committees, and Reports","428"
"SJ22","Police, State","345"
"SJ22","Study Commissions, Committees, and Reports","428"
"SJ22","Taxation","437"
"SJ26","Joint Legislative Audit and Review Commission (JLARC)","244"
"SJ26","Narcotics and Drugs","303"
"SJ26","Study Commissions, Committees, and Reports","428"
